                                     reads_raw  trim_adapter_bp_read1  trim_quality_bp_read1  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
OAK-MOR-549.fq.barcodeStripped          963105                      0                      0                  2230                       136               960739
OAK-MOR-575.fq.barcodeStripped         2357297                      0                      0                  5947                       365              2350985
OAK-MOR-578.fq.barcodeStripped         1948741                      0                      0                  1177                      3722              1943842
OAK-MOR-580.nameFixed                  1439288                      0                      0                   470                         0              1438818
OAK-MOR-581.nameFixed                  1213295                      0                      0                   427                         0              1212868
OAK-MOR-582.nameFixed                  1195326                      0                      0                   399                         0              1194927
OAK-MOR-583.nameFixed                   813289                      0                      0                   304                         0               812985
OAK-MOR-584.nameFixed                  1660741                      0                      0                   545                         0              1660196
OAK-MOR-587.nameFixed                  1231424                      0                      0                   349                         0              1231075
OAK-MOR-588.fq.barcodeStripped         2334518                      0                      0                  1388                      4197              2328933
OAK-MOR-589.fq.barcodeStripped         2259848                      0                      0                  1496                      4331              2254021
OAK-MOR-590.fq.barcodeStripped         2281980                      0                      0                  1531                      4270              2276179
OAK-MOR-591.fq.barcodeStripped         1922340                      0                      0                  1183                      3564              1917593
OAK-MOR-593.fq.barcodeStripped         1949888                      0                      0                  1255                      3666              1944967
OAK-MOR-599.fq.barcodeStripped          185147                      0                      0                   335                        28               184784
OAK-MOR-600.nameFixed                   852606                      0                      0                   265                         0               852341
OAK-MOR-601.nameFixed                  1170154                      0                      0                   392                         0              1169762
OAK-MOR-604                            2084031                      0                      0                  1843                         0              2082188
OAK-MOR-606.nameFixed                   998894                      0                      0                   328                         0               998566
OAK-MOR-608.nameFixed                   679754                      0                      0                   229                         0               679525
OAK-MOR-609.nameFixed                  1150710                      0                      0                   379                         0              1150331
OAK-MOR-611.fq.barcodeStripped         2168442                      0                      0                  1343                      4034              2163065
OAK-MOR-614.fq.barcodeStripped         2290345                      0                      0                  1546                      4350              2284449
OAK-MOR-615.fq.barcodeStripped         1463657                      0                      0                   973                      2848              1459836
OAK-MOR-616.fq.barcodeStripped         1412010                      0                      0                   906                      2604              1408500
OAK-MOR-617.nameFixed                  1520399                      0                      0                   515                         0              1519884
OAK-MOR-618.nameFixed                  1181363                      0                      0                   372                         0              1180991
OAK-MOR-620                            1972826                      0                      0                  1675                         0              1971151
OAK-MOR-621.nameFixed                   635558                      0                      0                   202                         0               635356
OAK-MOR-622.nameFixed                   819316                      0                      0                   267                         0               819049
OAK-MOR-623.fq.barcodeStripped         1522698                      0                      0                  4045                       232              1518421
OAK-MOR-624.fq.barcodeStripped         1054575                      0                      0                  2382                       159              1052034
OAK-MOR-625.fq.barcodeStripped         1501914                      0                      0                  2870                       205              1498839
OAK-MOR-626.fq.barcodeStripped         1370829                      0                      0                  3600                       212              1367017
OAK-MOR-627.fq.barcodeStripped         1572263                      0                      0                  1042                      3095              1568126
OAK-MOR-628.fq.barcodeStripped         1999348                      0                      0                  1255                      4000              1994093
OAK-MOR-632.fq.barcodeStripped         1626171                      0                      0                  4111                       244              1621816
OAK-MOR-639.fq.barcodeStripped         2270359                      0                      0                  4840                       309              2265210
OAK-MOR-646.nameFixed                   668670                      0                      0                   213                         0               668457
OAK-MOR-648.nameFixed                  1787633                      0                      0                   632                         0              1787001
