1		
Quercus_cortesii|Honduras|NA|JCB-HN-UY-30|QUE000519	Erythromexicana	0.57
Quercus_lowilliamsii|Mexico|Chiapas|AGR29|QUE001589	Erythromexicana	0.57
Quercus_benthamii|Mexico|Chiapas|AGR21|QUE001582	Erythromexicana	0.57
Quercus_delgadoana|Mexico|Hidalgo|AGR11|QUE000552	Erythromexicana	0.57
Quercus_sapotifolia|Honduras|NA|JCB-HN-UY-51|QUE000540	Erythromexicana	0.57
Quercus_iltisii|Mexico|Oaxaca|JCB-MX-OA-PO-72|QUE000265	Erythromexicana	0.57
Quercus_crispifolia|Mexico|Oaxaca|JCB-MX-OA-PO-63|QUE000256	Erythromexicana	0.57
Quercus_elliptica|Mexico|Oaxaca|JCB-MX-OA-PO-60|QUE000253	Erythromexicana	0.57
Quercus_uxoris|Mexico|Jalisco|JCB-MX-JA-MA-135|QUE000403	Erythromexicana	0.57
Quercus_aristata|Mexico|Nayarit|8370|QUE002664	Erythromexicana	0.57
Quercus_planipocula|Mexico|Nayarit|IL-SH-082|QUE000848	Erythromexicana	0.57
Quercus_laurina|Mexico|Jalisco|JCB-MX-JA-TM-127|QUE000395	Erythromexicana	0.57
Quercus_pinnativenulosa|Mexico|Veracruz|AGR5|QUE000546	Erythromexicana	0.57
Quercus_sartorii|Mexico|Hidalgo|AGR8|QUE000549	Erythromexicana	0.57
Quercus_mexicana|Mexico|NA|IL-SH-018|QUE000844	Erythromexicana	0.57
Quercus_affinis|Mexico|Queretaro|AGR34|QUE001594	Erythromexicana	0.57
Quercus_gravesii|USA|TX|CA-DAV-MH45|QUE000318	Erythromexicana	0.57
Quercus_canbyi|cultivated|NA|IL-SH-132|QUE000807	Erythromexicana	0.57
Quercus_incana|USA|MS|PM-104|QUE000764	Laurifoliae	1
Quercus_hemisphaerica|USA|NC|PM-178|QUE001151	Laurifoliae	1
Quercus_inopina|USA|FL|JCB-US-FL-AB-IP-2|QUE000186	Laurifoliae	1
Quercus_myrtifolia|USA|FL|JCB-US-FL-AB-MY-2|QUE000191	Laurifoliae	1
Quercus_laevis|USA|NC|PM-179|QUE001152	Laurifoliae	1
Quercus_nigra|USA|NC|PM-147|QUE001120	Laurifoliae	1
Quercus_arkansana|USA|LA|IL-SH-166|QUE000600	Laurifoliae	1
Quercus_elliottii|USA|FL|JCB-US-FL-SF-ET-2|QUE000193	Laurifoliae	1
Quercus_phellos|USA|IL|IL-SH-156|QUE000590	Laurifoliae	1
Quercus_laurifolia|USA|FL|JCB-US-FL-SF-LA-1|QUE000187	Laurifoliae	1
Quercus_falcata|USA|FL|JCB-US-FL-SF-FA-1|QUE000183	Laurifoliae	1
Quercus_marilandica|USA|MO|IL-MOR-MH012_|QUE000116	Laurifoliae	1
Quercus_pagoda|USA|IN|IL-MOR-MH002_A.B|QUE000106	Laurifoliae	1
Quercus_imbricaria|USA|IL|IL-MOR-MH088_|QUE000130	Laurifoliae	1
Quercus_georgiana|USA|GA|IL-MOR-MH221|QUE001055	Laurifoliae	1
Quercus_ilicifolia|USA|NY|PM-80|QUE000740	Laurifoliae	1
Quercus_acerifolia|USA|AR|IL-SH-22|QUE000635	Rubrae	1
Quercus_shumardii|USA|OK|IL-SH-111|QUE000571	Rubrae	1
Quercus_buckleyi|USA|TX|IL-SH-158|QUE000592	Rubrae	1
Quercus_rubra|USA|IL|IL-MOR-MH085|QUE000127	Rubrae	1
Quercus_ellipsoidalis|USA|IL|IL-MOR-MH087_|QUE000129	Rubrae	1
Quercus_velutina|USA|IL|IL-MOR-MH076|QUE000118	Rubrae	1
Quercus_coccinea|USA|IL|JW2604|QUE000153	Rubrae	1
Quercus_texana|USA|IL|IL-SH-28|QUE000641	Palustres	1
Quercus_palustris|USA|IL|IL-MOR-MH004_|QUE000108	Palustres	1
Quercus_wislizeni|USA|CA|Aram-s.n.-D|QUE000351	Agrifoliae	1
Quercus_parvula_var._tamalpaiensis|USA|CA|PM-318|QUE001248	Agrifoliae	1
Quercus_parvula_var._shrevei|USA|CA|PM-306|QUE001237	Agrifoliae	1
Quercus_agrifolia|USA|CA|PM-311|QUE001242	Agrifoliae	1
Quercus_agrifolia_var._oxyadenia|USA|CA|CA-DAV-MH55|QUE000328	Agrifoliae	1
Quercus_kelloggii|USA|CA|CA-MH69|QUE000342	Agrifoliae	1
Quercus_senescens|China|Yunnan|DM34|QUE000917	Ilex	0.69
Quercus_rehderiana|China|Yunnan|DM38|QUE000921	Ilex	0.69
Quercus_gujavifolia|China|Yunnan|2003.0809|QUE001515	Ilex	0.69
Quercus_monimotricha|China|Tibet|DM68|QUE000945	Ilex	0.69
Quercus_pseudosemecarpifolia|China|Yunnan|1998.038|QUE001495	Ilex	0.69
Quercus_longispica|China|Sichuang|DM36|QUE000919	Ilex	0.69
Quercus_semecarpifolia|China|NA|1976.087|QUE001494	Ilex	0.69
Quercus_sp.nov.|China|Tibet|DM5296|QUE001568	Ilex	0.69
Quercus_calliprinos|Lebanon|Danniyeh|s.n._-_Simeone|QUE002667	Ilex	0.69
Quercus_coccifera|Italy|Apulia|TUS13-013|QUE001988	Ilex	0.69
Quercus_aucheri|Turkey|Mugla|1999.038|QUE001497	Ilex	0.69
Quercus_alnifolia|Cyprus|NA|s.n.|QUE000999	Ilex	0.69
Quercus_ilex|Algeria|Medea|TUS13-009|QUE002668	Ilex	0.69
Quercus_ilex_ssp._rotundifolia|Spain|Badajoz|2001.066|QUE001498	Ilex	0.69
Quercus_baloot|Pakistan|Khyber|1995.121|QUE001492	Ilex	0.69
Quercus_floribunda|Pakistan|NA|1999.0004|QUE001493	Ilex	0.69
Quercus_utilis|China|Hunan|DM59|QUE000937	Ilex	0.69
Quercus_engleriana|China|Yunnan|DM57|QUE000935	Ilex	0.69
Quercus_yiwuensis|China|Yunnan|DM58|QUE000936	Ilex	0.69
Quercus_setulosa|China|Yunnan|DM5887|QUE001574	Ilex	0.69
Quercus_phillyreoides|China|Hunan|DM43|QUE000925	Ilex	0.69
Quercus_acrodonta|China|Yunnan|DM35|QUE000918	Ilex	0.69
Quercus_baronii|China|Gansu|IL-MOR-MH230|QUE001064	Ilex	0.69
Quercus_dolicholepis|China|Yunnan|DM66|QUE000944	Ilex	0.69
Quercus_franchetii|China|Yunnan|DM39|QUE000922	Ilex	0.69
Quercus_trojana|Turkey|_Isparta|IL-MOR-MH206|QUE001011	Cerris	1
Quercus_libani|Turkey|NA|s.n.|QUE001000	Cerris	1
Quercus_cerris|Lebanon|Zgharta|TUS-4-2_JS|QUE001564	Cerris	1
Quercus_look|Israel|NA|sample_2-look_s.n.|QUE000983	Cerris	1
Quercus_afares|Algeria|Zitouna|1977.224|QUE001501	Cerris	1
Quercus_castaneifolia|Iran|Mazandaran|1977.448|QUE001502	Cerris	1
Quercus_brantii|Iran|NA|s.n.|QUE000991	Cerris	1
Quercus_macrolepis|Greece|Crete|s.n.|QUE000998	Cerris	1
Quercus_ithaburensis|Israel|NA|21.10.2013|QUE001103	Cerris	1
Quercus_crenata|Italy|Latium|TUS13-003|QUE000954	Cerris	1
Quercus_suber|Algeria|Medea|TUS13-010|QUE001601	Cerris	1
Quercus_variabilis|China|Yunnan|DM37|QUE000920	Cerris	1
Quercus_acutissima|NA|NA|IL-MOR-MH209|QUE001003	Cerris	1
Quercus_chenii|China|NA|1981.169|QUE001500	Cerris	1
